메뉴 이름,방법 분류,국가 분류,테마 분류,주재료 이름,features
참치채소전,부침,한식,메인요리,참치캔 1개 계란 1개 청고추 1개 홍고추 1개,참치채소전 부침 한식 메인요리 참치캔 1개 계란 1개 청고추 1개 홍고추 1개
채소감자지짐,부침,한식,메인요리,감자 2개,채소감자지짐 부침 한식 메인요리 감자 2개
표고전,부침,한식,메인요리,표고버섯 15장 쇠고기 150g,표고전 부침 한식 메인요리 표고버섯 15장 쇠고기 150g
호박전,부침,한식,메인요리,애호박 1개,호박전 부침 한식 메인요리 애호박 1개
가지볶음,볶음,한식,반찬,가지 2개,가지볶음 볶음 한식 반찬 가지 2개
가지쇠고기볶음,볶음,한식,메인요리,가지 1개 쇠고기(등심) 100g,가지쇠고기볶음 볶음 한식 메인요리 가지 1개 쇠고기(등심) 100g
가지와마른새우무침,볶음,한식,메인요리,가지 1개 마른새우 20g,가지와마른새우무침 볶음 한식 메인요리 가지 1개 마른새우 20g
개조개쌈장볶음,볶음,한식,메인요리,개조개 2마리,개조개쌈장볶음 볶음 한식 메인요리 개조개 2마리
고구마줄기볶음,볶음,한식,메인요리,고구마줄기 25g,고구마줄기볶음 볶음 한식 메인요리 고구마줄기 25g
고사리볶음,볶음,한식,메인요리,말린고사리 30g,고사리볶음 볶음 한식 메인요리 말린고사리 30g
고추장불고기,볶음,한식,메인요리,돼지고기(목살) 400g 청고추 1개 홍고추 1개 고추장 2큰술 다진생강 1/2작은술 설탕 1/2작은술 간장 1작은술 청주 1큰술 다진마늘 1큰술 물엿 1큰술 후춧가루 약간 참기름 약간,고추장불고기 볶음 한식 메인요리 돼지고기(목살) 400g 청고추 1개 홍고추 1개 고추장 2큰술 다진생강 1/2작은술 설탕 1/2작은술 간장 1작은술 청주 1큰술 다진마늘 1큰술 물엿 1큰술 후춧가루 약간 참기름 약간
골뱅이볶음,볶음,한식,메인요리,골뱅이(통조림) 1개,골뱅이볶음 볶음 한식 메인요리 골뱅이(통조림) 1개
굴소스 죽순버섯볶음,볶음,한식,반찬,죽순 1캔 느타리버섯 30g 새송이버섯 30g 팽이버섯 1봉지,굴소스 죽순버섯볶음 볶음 한식 반찬 죽순 1캔 느타리버섯 30g 새송이버섯 30g 팽이버섯 1봉지
낙지불고기,볶음,한식,메인요리,쇠고기 150g 낙지 2마리,낙지불고기 볶음 한식 메인요리 쇠고기 150g 낙지 2마리
느타리버섯볶음,볶음,한식,반찬,느타리버섯 80g,느타리버섯볶음 볶음 한식 반찬 느타리버섯 80g
두부구이와 버섯볶음,볶음,한식,반찬,두부 1모 새송이버섯 2개 팽이버섯 1/2봉,두부구이와 버섯볶음 볶음 한식 반찬 두부 1모 새송이버섯 2개 팽이버섯 1/2봉
두부김치,볶음,한식,메인요리,두부 1모 배추김치 1/2포기,두부김치 볶음 한식 메인요리 두부 1모 배추김치 1/2포기
라볶이,볶음,한식,메인요리,라면 1봉 떡 30g 어묵 30g,라볶이 볶음 한식 메인요리 라면 1봉 떡 30g 어묵 30g
마른새우볶음,볶음,한식,반찬,마른새우 2컵,마른새우볶음 볶음 한식 반찬 마른새우 2컵
멸치꽈리고추볶음,볶음,한식,반찬,꽈리고추 200g 멸치 30g,멸치꽈리고추볶음 볶음 한식 반찬 꽈리고추 200g 멸치 30g
멸치볶음,볶음,한식,반찬,잔멸치 1컵,멸치볶음 볶음 한식 반찬 잔멸치 1컵
버섯볶음,볶음,한식,반찬,느타리버섯 30g 새송이버섯 30g 팽이버섯 1봉지,버섯볶음 볶음 한식 반찬 느타리버섯 30g 새송이버섯 30g 팽이버섯 1봉지
버섯볶음과들깨소스,볶음,한식,반찬,표고버섯 20g 느타리버섯 40g 새송이버섯 40g 팽이버섯 50g 양송이버섯 30g,버섯볶음과들깨소스 볶음 한식 반찬 표고버섯 20g 느타리버섯 40g 새송이버섯 40g 팽이버섯 50g 양송이버섯 30g
버섯잡채,볶음,한식,반찬,느타리버섯 60g 표고버섯 3장 팽이버섯 30g,버섯잡채 볶음 한식 반찬 느타리버섯 60g 표고버섯 3장 팽이버섯 30g
버터오징어채볶음,볶음,한식,반찬,오징어채 50g 버터 2큰술,버터오징어채볶음 볶음 한식 반찬 오징어채 50g 버터 2큰술
보고또보고닭발,볶음,한식,메인요리,닭발 200g,보고또보고닭발 볶음 한식 메인요리 닭발 200g
부추잡채,볶음,한식,반찬,부추 1/4단 돼지고기(안심) 100g,부추잡채 볶음 한식 반찬 부추 1/4단 돼지고기(안심) 100g
불고기,볶음,한식,메인요리,쇠고기(등심) 500g,불고기 볶음 한식 메인요리 쇠고기(등심) 500g
순대볶음,볶음,한식,메인요리,순대 300g,순대볶음 볶음 한식 메인요리 순대 300g
어묵볶음,볶음,한식,반찬,어묵 100g,어묵볶음 볶음 한식 반찬 어묵 100g
연근볶음,볶음,한식,반찬,연근 150g,연근볶음 볶음 한식 반찬 연근 150g
오징어떡볶음,볶음,한식,메인요리,오징어 1마리 떡볶이떡 50g,오징어떡볶음 볶음 한식 메인요리 오징어 1마리 떡볶이떡 50g
오징어볶음과소면,볶음,한식,메인요리,오징어 1마리,오징어볶음과소면 볶음 한식 메인요리 오징어 1마리
오징어삼겹살볶음,볶음,한식,메인요리,오징어 1마리 돼지고기(삼겹살) 200g,오징어삼겹살볶음 볶음 한식 메인요리 오징어 1마리 돼지고기(삼겹살) 200g
오징어채볶음,볶음,한식,반찬,오징어채 100g 고추장 1큰술 설탕 1큰술,오징어채볶음 볶음 한식 반찬 오징어채 100g 고추장 1큰술 설탕 1큰술
잔멸치쌈장볶음,볶음,한식,반찬,잔멸치 100g,잔멸치쌈장볶음 볶음 한식 반찬 잔멸치 100g
청경채닭고기볶음,볶음,한식,메인요리,닭다리 2개 청경채 70g,청경채닭고기볶음 볶음 한식 메인요리 닭다리 2개 청경채 70g
고구마스프,밥 죽 스프,서양,메인요리,고구마 2개 우유(또는 물) 1컵,고구마스프 밥 죽 스프 서양 메인요리 고구마 2개 우유(또는 물) 1컵
닭살크림수프,밥 죽 스프,서양,메인요리,닭(가슴살) 100g 우유 2컵,닭살크림수프 밥 죽 스프 서양 메인요리 닭(가슴살) 100g 우유 2컵
덴마크식당근스프,밥 죽 스프,서양,메인요리,당근(잘게 썬것) 1/2개 크림치즈 200g,덴마크식당근스프 밥 죽 스프 서양 메인요리 당근(잘게 썬것) 1/2개 크림치즈 200g
러시안수프,밥 죽 스프,서양,메인요리,쇠고기(사태) 100g,러시안수프 밥 죽 스프 서양 메인요리 쇠고기(사태) 100g
모듬콩수프,밥 죽 스프,서양,메인요리,콩(메주콩 검은콩 외) 각 100g,모듬콩수프 밥 죽 스프 서양 메인요리 콩(메주콩 검은콩 외) 각 100g
버섯스프,밥 죽 스프,서양,메인요리,버섯 6개,버섯스프 밥 죽 스프 서양 메인요리 버섯 6개
버섯크림수프,밥 죽 스프,서양,메인요리,양송이 10개,버섯크림수프 밥 죽 스프 서양 메인요리 양송이 10개
베이비콘채소스프,밥 죽 스프,서양,메인요리,베비이콘 70g,베이비콘채소스프 밥 죽 스프 서양 메인요리 베비이콘 70g
브로콜리수프,밥 죽 스프,서양,메인요리,브로콜리 100g 생크림 50ml 닭육수 400g,브로콜리수프 밥 죽 스프 서양 메인요리 브로콜리 100g 생크림 50ml 닭육수 400g
양송이크림수프,밥 죽 스프,서양,메인요리,양송이버섯 150g 생크림 3큰술,양송이크림수프 밥 죽 스프 서양 메인요리 양송이버섯 150g 생크림 3큰술
어니언그라탱수프,밥 죽 스프,서양,메인요리,양파 2개 바게트빵 2장 마늘 1개,어니언그라탱수프 밥 죽 스프 서양 메인요리 양파 2개 바게트빵 2장 마늘 1개
오므라이스,밥 죽 스프,서양,메인요리,계란 3개 밥 2공기,오므라이스 밥 죽 스프 서양 메인요리 계란 3개 밥 2공기
완두콩감자수프,밥 죽 스프,서양,메인요리,완두콩 1컵 감자 1/2개,완두콩감자수프 밥 죽 스프 서양 메인요리 완두콩 1컵 감자 1/2개
완두콩수프,밥 죽 스프,서양,메인요리,완두콩(통조림) 200g,완두콩수프 밥 죽 스프 서양 메인요리 완두콩(통조림) 200g
인도식과일카레라이스,밥 죽 스프,서양,메인요리,밥 2인분 카레 100g,인도식과일카레라이스 밥 죽 스프 서양 메인요리 밥 2인분 카레 100g
채소수프,밥 죽 스프,서양,메인요리,감자 2개 홀토마토 4개,채소수프 밥 죽 스프 서양 메인요리 감자 2개 홀토마토 4개
채소스프,밥 죽 스프,서양,메인요리,당근 1/4개 양파 1/2개 샐러리 1/3대 피망 1개 무 20g,채소스프 밥 죽 스프 서양 메인요리 당근 1/4개 양파 1/2개 샐러리 1/3대 피망 1개 무 20g
치즈라이스볼,밥 죽 스프,서양,메인요리,밥 1공기 치즈(슬라이스) 3장,치즈라이스볼 밥 죽 스프 서양 메인요리 밥 1공기 치즈(슬라이스) 3장
콘크림수프,밥 죽 스프,서양,메인요리,스위트콘 1캔,콘크림수프 밥 죽 스프 서양 메인요리 스위트콘 1캔
껍질콩버터조림,조림,서양,반찬,껍질콩 400g 베이컨 50g 양상추 1/2개,껍질콩버터조림 조림 서양 반찬 껍질콩 400g 베이컨 50g 양상추 1/2개
돼지고기바베큐,조림,서양,메인요리,돼지고기 300g,돼지고기바베큐 조림 서양 메인요리 돼지고기 300g
가지토마토그라탕,구이,서양,메인요리,토마토 2개 가지 1개,가지토마토그라탕 구이 서양 메인요리 토마토 2개 가지 1개
감자오븐구이,구이,서양,메인요리,감자 2개,감자오븐구이 구이 서양 메인요리 감자 2개
닭가슴살구이와채소샐러드,구이,서양,메인요리,닭가슴살 100g 양상추 30g,닭가슴살구이와채소샐러드 구이 서양 메인요리 닭가슴살 100g 양상추 30g
등심스테이크,구이,서양,메인요리,쇠고기(등심) 200g,등심스테이크 구이 서양 메인요리 쇠고기(등심) 200g
레이즌닭다리스테이크,구이,서양,메인요리,닭다리 2개,레이즌닭다리스테이크 구이 서양 메인요리 닭다리 2개
베이컨햄말이,구이,서양,메인요리,베이컨 10 햄 10개,베이컨햄말이 구이 서양 메인요리 베이컨 10 햄 10개
비프채소롤,구이,서양,메인요리,쇠고기(홍두깨살) 500g,비프채소롤 구이 서양 메인요리 쇠고기(홍두깨살) 500g
속채운감자,구이,서양,메인요리,감자 2개,속채운감자 구이 서양 메인요리 감자 2개
아스파라거스베이컨말이,구이,서양,메인요리,아스파라거스 200g 메추리알 8개 베이컨 16장,아스파라거스베이컨말이 구이 서양 메인요리 아스파라거스 200g 메추리알 8개 베이컨 16장
오븐감자구이,구이,서양,메인요리,감자 4개,오븐감자구이 구이 서양 메인요리 감자 4개
오븐채소구이,구이,서양,메인요리,고구마 2개 단호박 1/2개 가지 1개 당근 1/2개,오븐채소구이 구이 서양 메인요리 고구마 2개 단호박 1/2개 가지 1개 당근 1/2개
치즈고기말이,구이,서양,메인요리,쇠고기(불고기) 150g 모짜렐라치즈 100g,치즈고기말이 구이 서양 메인요리 쇠고기(불고기) 150g 모짜렐라치즈 100g
치즈연어구이,구이,서양,메인요리,연어 200g 치즈(슬라이스) 2장,치즈연어구이 구이 서양 메인요리 연어 200g 치즈(슬라이스) 2장
콘버터,구이,서양,메인요리,옥수수통조림 1캔 피자치즈 한줌,콘버터 구이 서양 메인요리 옥수수통조림 1캔 피자치즈 한줌
콘치즈구이,구이,서양,메인요리,옥수수통조림 1/2캔 피자치즈 30g,콘치즈구이 구이 서양 메인요리 옥수수통조림 1/2캔 피자치즈 30g
토마토치즈구이,구이,서양,메인요리,토마토 5개 모짜렐라치즈 70g,토마토치즈구이 구이 서양 메인요리 토마토 5개 모짜렐라치즈 70g
홍합구이,구이,서양,메인요리,홍합 12개,홍합구이 구이 서양 메인요리 홍합 12개
홍합치즈구이,구이,서양,메인요리,홍합 20개,홍합치즈구이 구이 서양 메인요리 홍합 20개
고구마크로켓,튀김 커틀릿,서양,메인요리,고구마 4개,고구마크로켓 튀김 커틀릿 서양 메인요리 고구마 4개
고등어샐러드,튀김 커틀릿,서양,메인요리,고등어 1/2마리 양상추 1/2개,고등어샐러드 튀김 커틀릿 서양 메인요리 고등어 1/2마리 양상추 1/2개
골드 코스트 코코넛 쉬림프,튀김 커틀릿,서양,메인요리,새우(중하) 6마리,골드 코스트 코코넛 쉬림프 튀김 커틀릿 서양 메인요리 새우(중하) 6마리
닭날개너트봉,튀김 커틀릿,서양,메인요리,닭(날개) 5개,닭날개너트봉 튀김 커틀릿 서양 메인요리 닭(날개) 5개
머스터드소스와치킨너겟,튀김 커틀릿,서양,간식,닭(안심) 300g,머스터드소스와치킨너겟 튀김 커틀릿 서양 간식 닭(안심) 300g
모짜렐라치즈튀김,튀김 커틀릿,서양,간식,모짜렐라치즈 225g,모짜렐라치즈튀김 튀김 커틀릿 서양 간식 모짜렐라치즈 225g
미니핫도그,튀김 커틀릿,서양,간식,비엔나소시지 10개 빵가루 3컵,미니핫도그 튀김 커틀릿 서양 간식 비엔나소시지 10개 빵가루 3컵
베이컨메추리알말이,튀김 커틀릿,서양,메인요리,베이컨 10장 메추리알 10개,베이컨메추리알말이 튀김 커틀릿 서양 메인요리 베이컨 10장 메추리알 10개
식빵모서리튀김,튀김 커틀릿,서양,메인요리,식빵(모서리) 100g,식빵모서리튀김 튀김 커틀릿 서양 메인요리 식빵(모서리) 100g
양파링카레튀김,튀김 커틀릿,서양,메인요리,양파 1개,양파링카레튀김 튀김 커틀릿 서양 메인요리 양파 1개
옥수수크로켓,튀김 커틀릿,서양,메인요리,감자 2개 스위트콘 1/2캔,옥수수크로켓 튀김 커틀릿 서양 메인요리 감자 2개 스위트콘 1/2캔
치킨까스와 허니머스터드드레싱,튀김 커틀릿,서양,메인요리,닭안심 2조각,치킨까스와 허니머스터드드레싱 튀김 커틀릿 서양 메인요리 닭안심 2조각
튀김볼모듬,튀김 커틀릿,서양,메인요리,새우 200g 고등어 200g 굴비 200g 갈치 200g 오렌지 1개 방울토마토 약간,튀김볼모듬 튀김 커틀릿 서양 메인요리 새우 200g 고등어 200g 굴비 200g 갈치 200g 오렌지 1개 방울토마토 약간
프라이드그린토마토,튀김 커틀릿,서양,메인요리,토마토 2개 샐러드오일 약간,프라이드그린토마토 튀김 커틀릿 서양 메인요리 토마토 2개 샐러드오일 약간
허브를입혀튀긴고등어샐러리,튀김 커틀릿,서양,메인요리,고등어 1/2마리,허브를입혀튀긴고등어샐러리 튀김 커틀릿 서양 메인요리 고등어 1/2마리
허브를입혀튀긴새우와레몬드레싱,튀김 커틀릿,서양,메인요리,새우 3마리,허브를입혀튀긴새우와레몬드레싱 튀김 커틀릿 서양 메인요리 새우 3마리
단호박크림찜,찜,서양,메인요리,단호박 1/2개 크림치즈 3큰술,단호박크림찜 찜 서양 메인요리 단호박 1/2개 크림치즈 3큰술
제육배추찜,찜,서양,메인요리,돼지고기(갈은것) 300g 부추 50g 양파 1/4개 배춧잎 10장,제육배추찜 찜 서양 메인요리 돼지고기(갈은것) 300g 부추 50g 양파 1/4개 배춧잎 10장
토마토와찐갈치,찜,서양,메인요리,갈치 1마리 토마토 1/2개,토마토와찐갈치 찜 서양 메인요리 갈치 1마리 토마토 1/2개
건강식과일해산물샐러드,나물 생채 샐러드,서양,반찬,생홍합 10개 바지락 10개 파인애플 1쪽 사과 1/4개,건강식과일해산물샐러드 나물 생채 샐러드 서양 반찬 생홍합 10개 바지락 10개 파인애플 1쪽 사과 1/4개
과일샐러드,나물 생채 샐러드,서양,반찬,사과 1개 자몽 1개 샐러리 1대 오이 1개 딸기 4개,과일샐러드 나물 생채 샐러드 서양 반찬 사과 1개 자몽 1개 샐러리 1대 오이 1개 딸기 4개
과일샐러드,나물 생채 샐러드,서양,반찬,방울토마토 8개 키위 2개 파인애플통조림 4조각 과일통조림 약간,과일샐러드 나물 생채 샐러드 서양 반찬 방울토마토 8개 키위 2개 파인애플통조림 4조각 과일통조림 약간
그린샐러드,나물 생채 샐러드,서양,반찬,양상추 250g,그린샐러드 나물 생채 샐러드 서양 반찬 양상추 250g
당근채 견과류샐러드,나물 생채 샐러드,서양,반찬,당근 3개 건포도 6큰술 아몬드 땅콩 300g,당근채 견과류샐러드 나물 생채 샐러드 서양 반찬 당근 3개 건포도 6큰술 아몬드 땅콩 300g
레이즌쇠고기샐러드,나물 생채 샐러드,서양,반찬,쇠고기(안심) 100g 어린잎채소 200g,레이즌쇠고기샐러드 나물 생채 샐러드 서양 반찬 쇠고기(안심) 100g 어린잎채소 200g
레이즌컨츄리샐러드,나물 생채 샐러드,서양,반찬,브로콜리 1송이 건포도 1/2컵 피칸 1/4컵 베이컨 4줄 적양파 1/4개,레이즌컨츄리샐러드 나물 생채 샐러드 서양 반찬 브로콜리 1송이 건포도 1/2컵 피칸 1/4컵 베이컨 4줄 적양파 1/4개
레이즌푸실리컵샐러드,나물 생채 샐러드,서양,반찬,닭고기(안심) 300g 건포도 30g 푸실리(삼색푸실리) 50g,레이즌푸실리컵샐러드 나물 생채 샐러드 서양 반찬 닭고기(안심) 300g 건포도 30g 푸실리(삼색푸실리) 50g
멕시칸샐러드,나물 생채 샐러드,서양,반찬,햄 50g 피망 1개 샐러리 1대 피망 1/2개 오이 1/2개 양배추잎(잎) 2장 삶은계란노른자(삶은것) 1개,멕시칸샐러드 나물 생채 샐러드 서양 반찬 햄 50g 피망 1개 샐러리 1대 피망 1/2개 오이 1/2개 양배추잎(잎) 2장 삶은계란노른자(삶은것) 1개
모듬샐러드,나물 생채 샐러드,서양,반찬,파마산치즈 약간 샐러드 50g 체리토마토 3개,모듬샐러드 나물 생채 샐러드 서양 반찬 파마산치즈 약간 샐러드 50g 체리토마토 3개
무당근피클,나물 생채 샐러드,서양,반찬,무 1/3개 당근 3개 월계수잎 약간,무당근피클 나물 생채 샐러드 서양 반찬 무 1/3개 당근 3개 월계수잎 약간
바질토마토두부샐러드,나물 생채 샐러드,서양,반찬,두부 1모 토마토 2개 바질 20장,바질토마토두부샐러드 나물 생채 샐러드 서양 반찬 두부 1모 토마토 2개 바질 20장
사과치즈샐러드,나물 생채 샐러드,서양,반찬,치즈(연질) 100g 사과 1개 상추 약간,사과치즈샐러드 나물 생채 샐러드 서양 반찬 치즈(연질) 100g 사과 1개 상추 약간
새우와 아보카도샐러드,나물 생채 샐러드,서양,반찬,새우 2마리 아보카도 1개 소금 약간,새우와 아보카도샐러드 나물 생채 샐러드 서양 반찬 새우 2마리 아보카도 1개 소금 약간
새우와토마토샐러드,나물 생채 샐러드,서양,반찬,새우(중하) 5마리 체리토마토 10개 미림 120ml,새우와토마토샐러드 나물 생채 샐러드 서양 반찬 새우(중하) 5마리 체리토마토 10개 미림 120ml
시금치샐러드,나물 생채 샐러드,서양,반찬,시금치 70g 양송이버섯 4개 베이컨 4장,시금치샐러드 나물 생채 샐러드 서양 반찬 시금치 70g 양송이버섯 4개 베이컨 4장
시저샐러드,나물 생채 샐러드,서양,반찬,식빵 3장 양파 1/2개 양상추 1/2통 방울토마토 7개 치커리 적당량,시저샐러드 나물 생채 샐러드 서양 반찬 식빵 3장 양파 1/2개 양상추 1/2통 방울토마토 7개 치커리 적당량
양상추참치샐러드,나물 생채 샐러드,서양,반찬,참치 1/2캔 양파 15g 당근 10g 오이 20g 양상추 40g,양상추참치샐러드 나물 생채 샐러드 서양 반찬 참치 1/2캔 양파 15g 당근 10g 오이 20g 양상추 40g
연어샐러드,나물 생채 샐러드,서양,반찬,훈제연어 160g 앤다이브 40g,연어샐러드 나물 생채 샐러드 서양 반찬 훈제연어 160g 앤다이브 40g
월도프치킨샐러드,나물 생채 샐러드,서양,반찬,사과 1개 샐러리 1대 귤 2개 브로콜리 1/2송이 호두 40g 건포도 30g,월도프치킨샐러드 나물 생채 샐러드 서양 반찬 사과 1개 샐러리 1대 귤 2개 브로콜리 1/2송이 호두 40g 건포도 30g
젤리샐러드,나물 생채 샐러드,서양,반찬,젤리 100g 샐러드용채소 50g,젤리샐러드 나물 생채 샐러드 서양 반찬 젤리 100g 샐러드용채소 50g
치즈아보카도,나물 생채 샐러드,서양,반찬,아보카도 1개 크림치즈 4큰술,치즈아보카도 나물 생채 샐러드 서양 반찬 아보카도 1개 크림치즈 4큰술
치즈토마토,나물 생채 샐러드,서양,반찬,토마토 4개,치즈토마토 나물 생채 샐러드 서양 반찬 토마토 4개
치킨텐더,나물 생채 샐러드,서양,반찬,닭고기(안심) 6개,치킨텐더 나물 생채 샐러드 서양 반찬 닭고기(안심) 6개
컵샐러드,나물 생채 샐러드,서양,반찬,햄 1/2개 방울토마토 10개 오이 1개 춘권피 4장,컵샐러드 나물 생채 샐러드 서양 반찬 햄 1/2개 방울토마토 10개 오이 1개 춘권피 4장
콘샐러드,나물 생채 샐러드,서양,반찬,옥수수통조림 1캔,콘샐러드 나물 생채 샐러드 서양 반찬 옥수수통조림 1캔
콩샐러드,나물 생채 샐러드,서양,반찬,콩(통조림) 1/2컵,콩샐러드 나물 생채 샐러드 서양 반찬 콩(통조림) 1/2컵
크레송샐러드,나물 생채 샐러드,서양,반찬,베이컨 1장 크레송 50g,크레송샐러드 나물 생채 샐러드 서양 반찬 베이컨 1장 크레송 50g
키위드레싱과콘샐러드,나물 생채 샐러드,서양,반찬,양상추 1/2통 양배추 1/4통 토마토 1개 치커리 약간 스위트콘 약간 적채 1/4통,키위드레싱과콘샐러드 나물 생채 샐러드 서양 반찬 양상추 1/2통 양배추 1/4통 토마토 1개 치커리 약간 스위트콘 약간 적채 1/4통
토마토샐러드,나물 생채 샐러드,서양,반찬,토마토 2개,토마토샐러드 나물 생채 샐러드 서양 반찬 토마토 2개
해산물모듬샐러드,나물 생채 샐러드,서양,반찬,새우(중하) 8마리 오징어 1마리 치커리 약간 양상추 약간,해산물모듬샐러드 나물 생채 샐러드 서양 반찬 새우(중하) 8마리 오징어 1마리 치커리 약간 양상추 약간
흑미 샐러드,나물 생채 샐러드,서양,반찬,샐러드용 야채(로즈 비타민 비트잎) 100g 흑미 100g 백미 100g,흑미 샐러드 나물 생채 샐러드 서양 반찬 샐러드용 야채(로즈 비타민 비트잎) 100g 흑미 100g 백미 100g
오이피클,밑반찬 김치,서양,반찬,오이 4개 양파 1/2개 물 5컵,오이피클 밑반찬 김치 서양 반찬 오이 4개 양파 1/2개 물 5컵
채소피클,밑반찬 김치,서양,반찬,미니파프리카 1팩 오이 2개 당근 1/2개,채소피클 밑반찬 김치 서양 반찬 미니파프리카 1팩 오이 2개 당근 1/2개
가리비그라탕,양식,서양,메인요리,가리비(껍질이 있는것) 10개,가리비그라탕 양식 서양 메인요리 가리비(껍질이 있는것) 10개
까나페,양식,서양,메인요리,식빵 2쪽 비스켓 8개,까나페 양식 서양 메인요리 식빵 2쪽 비스켓 8개
새우스크램블,양식,서양,메인요리,새우 60g 계란 2개,새우스크램블 양식 서양 메인요리 새우 60g 계란 2개
스크램블드에그,양식,서양,메인요리,계란 2개 베이컨 3장,스크램블드에그 양식 서양 메인요리 계란 2개 베이컨 3장
오믈렛,양식,서양,메인요리,계란 4개,오믈렛 양식 서양 메인요리 계란 4개
오븐에 구운 브리치즈,양식,서양,메인요리,브리치즈 2개 꿀 1큰술,오븐에 구운 브리치즈 양식 서양 메인요리 브리치즈 2개 꿀 1큰술
이탈리안오믈렛,양식,서양,메인요리,계란 2개 스위트콘 1/3캔,이탈리안오믈렛 양식 서양 메인요리 계란 2개 스위트콘 1/3캔
포크스테이크,양식,서양,메인요리,돼지고기(안심) 600g,포크스테이크 양식 서양 메인요리 돼지고기(안심) 600g
포테이토스킨,양식,서양,메인요리,감자 2개 베이컨 3쪽 치즈(체다 슬라이스 치즈) 2장,포테이토스킨 양식 서양 메인요리 감자 2개 베이컨 3쪽 치즈(체다 슬라이스 치즈) 2장
마늘빠스,도시락 간식,서양,메인요리,마늘 20톨,마늘빠스 도시락 간식 서양 메인요리 마늘 20톨
뮈슬리,도시락 간식,서양,메인요리,플레인요구르트 4컵 씨리얼 6컵 우유 2컵,뮈슬리 도시락 간식 서양 메인요리 플레인요구르트 4컵 씨리얼 6컵 우유 2컵
양배추베이컨말이,도시락 간식,서양,메인요리,양배추잎(잎) 10장,양배추베이컨말이 도시락 간식 서양 메인요리 양배추잎(잎) 10장
옥수수프리터,도시락 간식,서양,메인요리,햄 30g 옥수수 1/2컵 밀가루 1/2컵,옥수수프리터 도시락 간식 서양 메인요리 햄 30g 옥수수 1/2컵 밀가루 1/2컵
치즈플레이트,도시락 간식,서양,메인요리,까망베르치즈 1개 훈제치즈 1/2개 허브갈릭치즈 1개 에멘탈치즈 1/2개 크림치즈 약간,치즈플레이트 도시락 간식 서양 메인요리 까망베르치즈 1개 훈제치즈 1/2개 허브갈릭치즈 1개 에멘탈치즈 1/2개 크림치즈 약간
포테이토칩,도시락 간식,서양,메인요리,감자 2개,포테이토칩 도시락 간식 서양 메인요리 감자 2개
계피향의 바나나구이,후식,서양,간식,바나나 1개,계피향의 바나나구이 후식 서양 간식 바나나 1개
레이즌셔벗,후식,서양,간식,레이즌 100g 바나나 1개 우유 500ml 플레인요거트 500ml,레이즌셔벗 후식 서양 간식 레이즌 100g 바나나 1개 우유 500ml 플레인요거트 500ml
모듬과일,후식,서양,간식,사과 1개 키위 1개 오렌지 1개,모듬과일 후식 서양 간식 사과 1개 키위 1개 오렌지 1개
수박젤리,후식,서양,간식,수박즙 500g 화이트와인 30g,수박젤리 후식 서양 간식 수박즙 500g 화이트와인 30g
시드니신풀선데,후식,서양,간식,바닐라아이스크림 4스쿠프,시드니신풀선데 후식 서양 간식 바닐라아이스크림 4스쿠프
싱가폴슬링,후식,서양,간식,진 60ml 레몬 1개 체리브랜디 30ml,싱가폴슬링 후식 서양 간식 진 60ml 레몬 1개 체리브랜디 30ml
오렌지젤리,후식,서양,간식,오렌지 3개,오렌지젤리 후식 서양 간식 오렌지 3개
장미꽃아이스크림,후식,서양,간식,아이스크림 1통,장미꽃아이스크림 후식 서양 간식 아이스크림 1통
케러멜,후식,서양,간식,생크림 250g 트리몰린 25g 설탕 190g 물엿 175g 슈가파우더 약간,케러멜 후식 서양 간식 생크림 250g 트리몰린 25g 설탕 190g 물엿 175g 슈가파우더 약간
화이트와인젤리,후식,서양,간식,화이트와인 250g,화이트와인젤리 후식 서양 간식 화이트와인 250g
딸기잼,양념장,서양,반찬,딸기 1kg,딸기잼 양념장 서양 반찬 딸기 1kg
마요네즈드레싱,양념장,서양,반찬,계란노른자 1개 샐러드유 1컵,마요네즈드레싱 양념장 서양 반찬 계란노른자 1개 샐러드유 1컵
발사믹드레싱,양념장,서양,반찬,발사믹식초 1컵 올리브오일 1컵,발사믹드레싱 양념장 서양 반찬 발사믹식초 1컵 올리브오일 1컵
애플소스,양념장,서양,반찬,사과 200g,애플소스 양념장 서양 반찬 사과 200g
타르타르소스,양념장,서양,반찬,마요네즈 3큰술 피클 15g,타르타르소스 양념장 서양 반찬 마요네즈 3큰술 피클 15g
토마토소스,양념장,서양,반찬,홀토마토 1/2캔 토마토 1개,토마토소스 양념장 서양 반찬 홀토마토 1/2캔 토마토 1개
토마토소스,양념장,서양,반찬,홀토마토 1/2캔 토마토 1개,토마토소스 양념장 서양 반찬 홀토마토 1/2캔 토마토 1개
감자수플레,빵 과자,서양,간식,감자 4개,감자수플레 빵 과자 서양 간식 감자 4개
구겔호프,빵 과자,서양,간식,밀가루(중력분) 500g,구겔호프 빵 과자 서양 간식 밀가루(중력분) 500g
레이즌마블케이크,빵 과자,서양,간식,버터(실온보관) 100g 밀가루(박력분) 100g,레이즌마블케이크 빵 과자 서양 간식 버터(실온보관) 100g 밀가루(박력분) 100g
레이즌비스코티,빵 과자,서양,간식,밀가루(박력분) 140g 건포도 60g,레이즌비스코티 빵 과자 서양 간식 밀가루(박력분) 140g 건포도 60g
